generatorInfidelity,trueInfidelity,estimatedInfidelity,estimatedError,delta1,delta2
0.00006675692619876202,0.0001658781997111447,0.00015429609064515626,0.000015834950275628312,0.03930603623902963,0.027834189403091073
0.008832773579965059,0.01584785955601059,0.015669247704296396,0.002060964068026472,0.5481759755247122,0.3483705469714915
0.0007009226350492762,0.0011568390986184673,0.0012201957383643491,0.0002620791865902694,0.15664721657720523,0.09870907161499826
0.00023386211570390286,0.0004682871972280789,0.0005568579207021473,0.000029611005273710855,0.10936998381036445,0.05615668614826558
0.00016458689531285728,0.00019590399810909265,0.00019770843809857608,0.00003041699099165518,0.05403716882490877,0.03432940842255749
0.0018660977100365848,0.0031776050399704436,0.0029249495892578192,0.00019510568332165024,0.28614113129505264,0.15393525158589075
0.0003982352974265902,0.0005811079239604333,0.000646692310540764,0.00012379659715300306,0.12578074128606015,0.07428289656583015
0.008568345843284222,0.015229915667907878,0.013994362445466868,0.0016118885897052349,0.5233131414719029,0.328480060257491
0.000017000996744699534,0.000020993088028442575,0.000023732258444153498,9.909819529585473e-6,0.022666497585251643,0.013893140133220905
0.00007256514229963591,0.00015561287105980703,0.00016025900275606908,0.00004814690680510214,0.05931047013643801,0.03392972389931728
0.00016755922418198218,0.0003374304273632833,0.00035495447866690233,0.000013697175120064298,0.09177794394620543,0.05588740121324962
0.000020560839116742334,0.00004842107126490358,0.00002537500642382784,0.00008114052578597764,0.02342258273554543,0.013902961314494559
0.0001674517749453913,0.0004777740992544799,0.0004573947620155061,0.00005484419278617425,0.0752897302594821,0.043414126228635525
0.00028364346603765,0.000496301642241348,0.0005535623872688356,0.00005768120062960014,0.10313966643915327,0.06261549852357699
0.00933985559798199,0.01607703731187804,0.015407661437618514,0.0022180064895229723,0.5982690869296107,0.36883144127015327
0.0002693506653726915,0.0007924685851301017,0.0007779798554264916,0.00010665844178436856,0.07992976324769015,0.05627135272758412
0.0002482079717525081,0.00028569672883815844,0.00031317761884092077,0.00006399306506660318,0.08075242846498445,0.04331525990157072
0.00513319297793102,0.013509988234840065,0.013559844085316741,0.001801734575354652,0.41739764351909664,0.29815626756440644
0.0000787531693390472,0.00013354936363979553,0.00020285821476268007,0.00002936017080240605,0.0438176860506001,0.026830997277871443
0.0002402948336363724,0.0004704078653725019,0.00044331923329760103,0.00008805194456579235,0.10325335555325936,0.05887481717642206
0.000014212896803666007,0.000025184045349735396,0.000021774660905499177,0.00003442896480246316,0.01535007931356071,0.009470153286638743
0.00003089839861952507,0.00005058449249667474,0.000054573784347700105,0.00003062570450457214,0.02758097500724719,0.019686121353597208
0.00004906211763600525,0.00010712388073363943,0.00005816431346727935,0.000037662677107586084,0.0512742203488268,0.027510868125992616
0.0001148612004864258,0.0001358567180180792,0.00015169441914236748,9.318890413112513e-6,0.06867511797368578,0.035047675701485106
0.0024743760749822287,0.0049241103122018015,0.004660618340251055,0.00034234240665809157,0.29967111542350416,0.203082808172219
0.00006929222483175329,0.00014741423179842617,0.00014836983911248325,0.000024012387775884658,0.049320564706904504,0.031410094469574
0.0001236991304450187,0.00029942293031592904,0.00021172013486603358,0.00004562836139243576,0.06911379995015372,0.046316536907890525
0.0025031170529655655,0.004555060905639119,0.004494961552529986,0.00040992252946348007,0.2323345556782332,0.1761377362721671
0.0015735072002764404,0.003446483651424248,0.003459019605158875,0.0003142229464142554,0.25835908516053585,0.16735934012574774
0.000011254613807305514,0.00002252736244567899,0.00004783051815382411,0.00003187501883150645,0.016916753909733705,0.010076548057290082
0.002399081274163355,0.004079378908358466,0.004209800461483337,0.00025463456167518217,0.30656721232336603,0.1945788703544957
0.0000959983689965291,0.00022292930454542725,0.0002527839802058396,0.00005921880454951012,0.06623915496262194,0.040540413784813066
